BenchmarkSnapshot/1_x_2_B-10         	       1	   6467666 ns/op	      1554 bytes	         7.000 calls	 1100416 B/op	    7533 allocs/op
BenchmarkSnapshot/1_x_2_B-10         	       1	   1945750 ns/op	      1554 bytes	         7.000 calls	  772656 B/op	    5424 allocs/op
BenchmarkSnapshot/1_x_2_B-10         	       1	   2080333 ns/op	      1554 bytes	         7.000 calls	  765704 B/op	    5386 allocs/op
BenchmarkSnapshot/1_x_2_B-10         	       1	   2712000 ns/op	      1554 bytes	         7.000 calls	  773856 B/op	    5432 allocs/op
BenchmarkSnapshot/1_x_2_B-10         	       1	   2214250 ns/op	      1554 bytes	         7.000 calls	  770384 B/op	    5393 allocs/op
BenchmarkSnapshot/1_x_2_B-10         	       1	   2474625 ns/op	      1554 bytes	         7.000 calls	  771008 B/op	    5419 allocs/op
BenchmarkSnapshot/2_x_2_B-10         	       1	   2197209 ns/op	      2399 bytes	        10.00 calls	  841864 B/op	    6049 allocs/op
BenchmarkSnapshot/2_x_2_B-10         	       1	   2310083 ns/op	      2411 bytes	        10.00 calls	  836000 B/op	    5989 allocs/op
BenchmarkSnapshot/2_x_2_B-10         	       1	   2486042 ns/op	      2411 bytes	        10.00 calls	  812520 B/op	    6063 allocs/op
BenchmarkSnapshot/2_x_2_B-10         	       1	   2476334 ns/op	      2411 bytes	        10.00 calls	  815480 B/op	    6097 allocs/op
BenchmarkSnapshot/2_x_2_B-10         	       1	   2281750 ns/op	      2407 bytes	        10.00 calls	  811432 B/op	    6064 allocs/op
BenchmarkSnapshot/2_x_2_B-10         	       1	   2313625 ns/op	      2407 bytes	        10.00 calls	  818504 B/op	    6074 allocs/op
BenchmarkSnapshot/4_x_2_B-10         	       1	   2254875 ns/op	      4131 bytes	        16.00 calls	  887520 B/op	    7282 allocs/op
BenchmarkSnapshot/4_x_2_B-10         	       1	   2350083 ns/op	      4131 bytes	        16.00 calls	  898520 B/op	    7361 allocs/op
BenchmarkSnapshot/4_x_2_B-10         	       1	   2480833 ns/op	      4131 bytes	        16.00 calls	  886536 B/op	    7296 allocs/op
BenchmarkSnapshot/4_x_2_B-10         	       1	   2449166 ns/op	      4131 bytes	        16.00 calls	  883928 B/op	    7324 allocs/op
BenchmarkSnapshot/4_x_2_B-10         	       1	   2360250 ns/op	      4131 bytes	        16.00 calls	  885488 B/op	    7284 allocs/op
BenchmarkSnapshot/4_x_2_B-10         	       1	   2322458 ns/op	      4127 bytes	        16.00 calls	  888232 B/op	    7318 allocs/op
BenchmarkSnapshot/8_x_2_B-10         	       1	   2558334 ns/op	      7575 bytes	        28.00 calls	 1043560 B/op	    9803 allocs/op
BenchmarkSnapshot/8_x_2_B-10         	       1	   2346542 ns/op	      7571 bytes	        28.00 calls	 1047136 B/op	    9845 allocs/op
BenchmarkSnapshot/8_x_2_B-10         	       1	   2625667 ns/op	      7575 bytes	        28.00 calls	 1047232 B/op	    9867 allocs/op
BenchmarkSnapshot/8_x_2_B-10         	       1	   2615625 ns/op	      7575 bytes	        28.00 calls	 1045488 B/op	    9855 allocs/op
BenchmarkSnapshot/8_x_2_B-10         	       1	   2394458 ns/op	      7571 bytes	        28.00 calls	 1039944 B/op	    9814 allocs/op
BenchmarkSnapshot/8_x_2_B-10         	       1	   2694042 ns/op	      7567 bytes	        28.00 calls	 1042936 B/op	    9836 allocs/op
BenchmarkSnapshot/16_x_2_B-10        	       1	   2858166 ns/op	     14477 bytes	        52.00 calls	 1397632 B/op	   15010 allocs/op
BenchmarkSnapshot/16_x_2_B-10        	       1	   2805125 ns/op	     14469 bytes	        52.00 calls	 1415528 B/op	   14905 allocs/op
BenchmarkSnapshot/16_x_2_B-10        	       1	   2744875 ns/op	     14477 bytes	        52.00 calls	 1367120 B/op	   14897 allocs/op
BenchmarkSnapshot/16_x_2_B-10        	       1	   2880500 ns/op	     14481 bytes	        52.00 calls	 1385296 B/op	   14946 allocs/op
BenchmarkSnapshot/16_x_2_B-10        	       1	   2792292 ns/op	     14469 bytes	        52.00 calls	 1381816 B/op	   14978 allocs/op
BenchmarkSnapshot/16_x_2_B-10        	       1	   2793292 ns/op	     14477 bytes	        52.00 calls	 1402392 B/op	   14916 allocs/op
BenchmarkSnapshot/32_x_2_B-10        	       1	   3265958 ns/op	     28290 bytes	       100.0 calls	 2052416 B/op	   25001 allocs/op
BenchmarkSnapshot/32_x_2_B-10        	       1	   4063625 ns/op	     28294 bytes	       100.0 calls	 1986688 B/op	   24925 allocs/op
BenchmarkSnapshot/32_x_2_B-10        	       1	   3540792 ns/op	     28294 bytes	       100.0 calls	 1998832 B/op	   24950 allocs/op
BenchmarkSnapshot/32_x_2_B-10        	       1	   3316625 ns/op	     28290 bytes	       100.0 calls	 1984960 B/op	   24944 allocs/op
BenchmarkSnapshot/32_x_2_B-10        	       1	   3432542 ns/op	     28302 bytes	       100.0 calls	 1991216 B/op	   24980 allocs/op
BenchmarkSnapshot/32_x_2_B-10        	       1	   3867625 ns/op	     28302 bytes	       100.0 calls	 2005312 B/op	   24973 allocs/op
BenchmarkSnapshot/48_x_2_B-10        	       1	   4205375 ns/op	     42190 bytes	       148.0 calls	 2618208 B/op	   34908 allocs/op
BenchmarkSnapshot/48_x_2_B-10        	       1	   4366917 ns/op	     42182 bytes	       148.0 calls	 2597816 B/op	   34855 allocs/op
BenchmarkSnapshot/48_x_2_B-10        	       1	   4792792 ns/op	     42150 bytes	       148.0 calls	 2597904 B/op	   34922 allocs/op
BenchmarkSnapshot/48_x_2_B-10        	       1	   4285333 ns/op	     42170 bytes	       148.0 calls	 2606296 B/op	   34943 allocs/op
BenchmarkSnapshot/48_x_2_B-10        	       1	   4236083 ns/op	     42170 bytes	       148.0 calls	 2627560 B/op	   34826 allocs/op
BenchmarkSnapshot/48_x_2_B-10        	       1	   3869375 ns/op	     42160 bytes	       148.0 calls	 2632864 B/op	   34908 allocs/op
BenchmarkSnapshot/64_x_2_B-10        	       1	   4839750 ns/op	     56068 bytes	       196.0 calls	 3294296 B/op	   44893 allocs/op
BenchmarkSnapshot/64_x_2_B-10        	       1	   4963458 ns/op	     56082 bytes	       196.0 calls	 3267960 B/op	   44868 allocs/op
BenchmarkSnapshot/64_x_2_B-10        	       1	   4754083 ns/op	     56084 bytes	       196.0 calls	 3306560 B/op	   44987 allocs/op
BenchmarkSnapshot/64_x_2_B-10        	       1	   5160584 ns/op	     56088 bytes	       196.0 calls	 3233792 B/op	   44897 allocs/op
BenchmarkSnapshot/64_x_2_B-10        	       1	   4272417 ns/op	     56056 bytes	       196.0 calls	 3238160 B/op	   44972 allocs/op
BenchmarkSnapshot/64_x_2_B-10        	       1	   5067541 ns/op	     56066 bytes	       196.0 calls	 3237744 B/op	   44902 allocs/op
BenchmarkSnapshot/1_x_8.2_kB-10      	       1	   2443583 ns/op	      9744 bytes	         7.000 calls	  930016 B/op	    5358 allocs/op
BenchmarkSnapshot/1_x_8.2_kB-10      	       1	   2672375 ns/op	      9744 bytes	         7.000 calls	  921336 B/op	    5390 allocs/op
BenchmarkSnapshot/1_x_8.2_kB-10      	       1	   2432625 ns/op	      9744 bytes	         7.000 calls	  914144 B/op	    5395 allocs/op
BenchmarkSnapshot/1_x_8.2_kB-10      	       1	   2238083 ns/op	      9744 bytes	         7.000 calls	  933432 B/op	    5403 allocs/op
BenchmarkSnapshot/1_x_8.2_kB-10      	       1	   2469209 ns/op	      9740 bytes	         7.000 calls	  901400 B/op	    5362 allocs/op
BenchmarkSnapshot/1_x_8.2_kB-10      	       1	   2446292 ns/op	      9740 bytes	         7.000 calls	  915776 B/op	    5430 allocs/op
BenchmarkSnapshot/2_x_8.2_kB-10      	       1	   2753875 ns/op	     18787 bytes	        10.00 calls	 1076696 B/op	    6019 allocs/op
BenchmarkSnapshot/2_x_8.2_kB-10      	       1	   2436666 ns/op	     18791 bytes	        10.00 calls	 1072056 B/op	    6055 allocs/op
BenchmarkSnapshot/2_x_8.2_kB-10      	       1	   2881000 ns/op	     18787 bytes	        10.00 calls	 1116224 B/op	    6037 allocs/op
BenchmarkSnapshot/2_x_8.2_kB-10      	       1	   3069000 ns/op	     18791 bytes	        10.00 calls	 1124576 B/op	    6023 allocs/op
BenchmarkSnapshot/2_x_8.2_kB-10      	       1	   2744958 ns/op	     18791 bytes	        10.00 calls	 1106464 B/op	    6046 allocs/op
BenchmarkSnapshot/2_x_8.2_kB-10      	       1	   2584458 ns/op	     18787 bytes	        10.00 calls	 1124824 B/op	    6043 allocs/op
BenchmarkSnapshot/4_x_8.2_kB-10      	       1	   2584375 ns/op	     36883 bytes	        16.00 calls	 1378968 B/op	    7296 allocs/op
BenchmarkSnapshot/4_x_8.2_kB-10      	       1	   2723500 ns/op	     36891 bytes	        16.00 calls	 1417896 B/op	    7280 allocs/op
BenchmarkSnapshot/4_x_8.2_kB-10      	       1	   2423084 ns/op	     36887 bytes	        16.00 calls	 1406064 B/op	    7311 allocs/op
BenchmarkSnapshot/4_x_8.2_kB-10      	       1	   2782167 ns/op	     36887 bytes	        16.00 calls	 1435408 B/op	    7319 allocs/op
